seqnames start end width strand Conc Conc_t39 Conc_t37 Fold p.value FDR X39.1 X39.2 X39.3 X39.4 X37.1 X37.2 X37.3 X37.4 name
chr10 37330922 37331122 201 * 6.08201813661481 6.86237009529641 4.2580863913309 2.44374669389824 1.14754162319465e-45 3.12051260465465e-43 105.45 122.05 110.03 127.88 18.83 22.38 14.66 20.66 chr10:37330922-37331122
chr17 62307556 62307756 201 * 3.88929954057946 4.70235209421252 1.84877334975193 2.44218612788015 9.97231977162927e-13 1.66444933558715e-11 24.33 26.63 21.76 31.41 1.96 1.07 8.8 2.58 chr17:62307556-62307756
chr6 134751566 134751766 201 * 6.03852306158336 6.81156921027706 4.2582379426486 2.4229204737904 1.24922088723526e-42 2.74128629600786e-40 112.4 138.7 103.98 94.23 18.05 17.05 19.06 22.39 chr6:134751566-134751766
chr13 38247100 38247300 201 * 5.26237891909435 6.04364618143873 3.43286877127854 2.42024115166619 4.88737016986903e-28 3.7526842005061e-26 69.53 66.57 60.46 67.31 11.77 10.66 11.73 9.04 chr13:38247100-38247300
chrX 145685285 145685485 201 * 5.2803731023894 6.07420131067408 3.3716671322347 2.39444024211673 8.96932362733296e-28 6.76634201125189e-26 71.84 77.67 61.66 58.33 12.16 12.79 4.4 12.05 chrX:145685285-145685485
chr11 23726530 23726730 201 * 7.15894782779181 7.9079170436545 5.51242178955054 2.38593886172348 1.89072563311914e-76 2.97611122685452e-73 272.31 249.65 218.85 219.87 35.71 47.95 49.85 49.08 chr11:23726530-23726730
chr3 109622420 109622620 201 * 6.61371304739 7.36109040807926 4.97553386609282 2.38458717437702 4.04717353121764e-58 2.16513203074311e-55 159.91 180.86 177.74 139.1 25.9 25.57 42.52 31.86 chr3:109622420-109622620
chr3 155110125 155110325 201 * 5.54535407177406 6.32776505375845 3.70883795633212 2.3831421789408 2.25642157105362e-32 2.42694299621957e-30 82.27 76.56 74.96 87.5 14.91 8.52 14.66 14.21 chr3:155110125-155110325
chr8 67910850 67911050 201 * 7.67914245898024 8.4267175986762 6.03992935122719 2.37655900403297 8.89646614904435e-92 2.80071019525165e-88 365.01 371.71 345.8 293.91 49.05 67.13 70.38 76.63 chr8:67910850-67911050
chr3 31281365 31281565 201 * 5.81887049698752 6.58040482615334 4.10436676380946 2.36038048726143 1.00001914006423e-34 1.27496209709341e-32 107.76 83.22 77.38 114.42 12.95 14.92 21.99 18.94 chr3:31281365-31281565
chr9 62948148 62948348 201 * 5.62486933537565 6.37524612581345 3.97091452770221 2.35173595234723 3.51805468956918e-32 3.7012377171713e-30 76.48 94.31 73.76 87.5 11.77 18.11 19.06 13.78 chr9:62948148-62948348
chr1 34389537 34389737 201 * 5.99868120139449 6.77053052708003 4.22540134279138 2.35137424822255 2.14517443851315e-40 4.16077424091802e-38 95.02 112.07 103.98 125.64 17.27 23.44 11.73 22.39 chr1:34389537-34389737
chr3 83694636 83694836 201 * 6.57678477340229 7.34511812141695 4.82385706647036 2.35041534113057 8.73413856274665e-58 4.58267933012421e-55 174.97 159.78 160.81 154.81 34.92 27.7 20.53 30.13 chr3:83694636-83694836
chr10 37155243 37155443 201 * 6.4075913055191 7.1658858022957 4.71098129331158 2.34744573171432 2.27800659245264e-53 9.970968855553e-51 158.75 146.46 139.05 130.13 26.68 26.64 23.46 27.98 chr10:37155243-37155443
chr13 113259216 113259416 201 * 6.28837362343827 7.0417635003139 4.61836213976926 2.32960206932709 3.03606176972306e-47 9.00379318527545e-45 134.42 112.07 125.75 154.81 24.33 25.57 26.39 21.95 chr13:113259216-113259416
chr17 32018236 32018436 201 * 6.97496022722904 7.71370899842987 5.38104863052663 2.32014011996008 1.13685519055299e-70 1.31060189016835e-67 222.48 201.94 235.78 179.49 38.85 39.43 48.39 40.04 chr17:32018236-32018436
chr15 12589024 12589224 201 * 5.02212943457495 5.80948051263608 3.15488980261264 2.31854223211283 2.80134681614913e-22 1.31929251006112e-20 48.67 53.26 48.36 74.04 10.59 4.26 11.73 9.04 chr15:12589024-12589224
chrX 13442393 13442593 201 * 5.85112911391819 6.60618196740809 4.17216398401526 2.30673543456583 8.38314989262183e-38 1.35606561632607e-35 99.65 100.97 101.56 87.5 17.27 15.98 19.06 19.8 chrX:13442393-13442593
chrX 101681833 101682033 201 * 5.74658579826924 6.52028986742715 3.96243270321173 2.29621633897768 2.06476560297311e-34 2.57626721599012e-32 96.18 97.64 85.85 87.5 16.48 15.98 8.8 21.09 chrX:101681833-101682033
chr4 84385241 84385441 201 * 6.0192880483189 6.76601611281257 4.38449698984385 2.29004923219678 1.75656675751087e-37 2.8081395638481e-35 115.88 123.16 93.1 103.21 14.91 15.98 26.39 26.26 chr4:84385241-84385441
chr6 100636115 100636315 201 * 5.0270024940103 5.7927279631896 3.28895566070683 2.2887061012037 9.31055277828631e-22 4.13723157141972e-20 53.3 74.34 44.74 49.36 10.59 13.85 7.33 7.32 chr6:100636115-100636315
chr13 36134334 36134534 201 * 5.71855880437165 6.48041645891028 4.0022548697337 2.28803967663328 3.08565200972608e-34 3.80940727976002e-32 96.18 97.64 87.06 76.28 19.23 13.85 14.66 16.36 chr13:36134334-36134534
chr13 31872178 31872378 201 * 6.09089839912425 6.85805738914075 4.34469405593548 2.28750814159458 3.44571185881058e-41 7.01579505859464e-39 118.19 119.83 100.36 125.64 25.11 13.85 19.06 23.25 chr13:31872178-31872378
chr18 68707092 68707292 201 * 5.69150730302999 6.44602012649456 4.01545698314446 2.28544459568709 1.45865224809962e-31 1.47215961971889e-29 67.21 103.19 77.38 100.96 14.52 18.11 16.13 15.93 chr18:68707092-68707292
chrX 10035403 10035603 201 * 5.27412074560495 6.05614217441229 3.43999532336312 2.28345898227534 2.83088476641285e-26 1.91654879251992e-24 67.21 71.01 62.87 65.06 12.95 7.46 8.8 14.21 chrX:10035403-10035603
chr11 80515452 80515652 201 * 7.69531009923293 8.42400806182816 6.15098965834809 2.27247182650364 4.67983344678937e-96 1.74113203387799e-92 351.1 399.45 320.41 302.88 62.78 75.65 74.78 71.03 chr11:80515452-80515652
chr8 104635425 104635625 201 * 5.33446887462883 6.09396244706358 3.63126683823027 2.27030404384131 7.23641357367902e-26 4.74225530359649e-24 56.78 58.81 85.85 71.79 12.56 15.98 10.26 10.76 chr8:104635425-104635625
chr19 34574694 34574894 201 * 7.21519526823004 7.96013842749191 5.58966951884961 2.26734883056579 9.92784088744601e-73 1.35433950746391e-69 272.31 252.98 197.08 273.72 49.83 50.08 41.05 51.66 chr19:34574694-34574894
chr1 7199621 7199821 201 * 6.0013159629114 6.75016686458912 4.35541228407461 2.26724189057483 1.43255319596377e-39 2.62905631486166e-37 100.81 119.83 95.52 114.42 20.01 20.25 20.53 21.09 chr1:7199621-7199821
chr16 66517061 66517261 201 * 7.12208401415348 7.85912287070554 5.53675514568692 2.26610769030758 3.50786142604668e-74 4.95037871695426e-71 219.01 256.31 251.49 201.92 46.3 54.34 38.12 46.92 chr16:66517061-66517261
chr6 137596547 137596747 201 * 5.50663017294757 6.27371073382967 3.76087353892058 2.26138692053092 1.00972009582798e-28 8.15055222520868e-27 74.16 67.68 68.92 98.72 12.95 11.72 13.2 16.36 chr6:137596547-137596747
chr15 67557729 67557929 201 * 6.92810466133868 7.6691526274356 5.32255520455776 2.26080829206598 4.81610879678755e-65 3.90300317946394e-62 196.99 235.23 209.18 172.76 45.52 33.03 41.05 40.47 chr15:67557729-67557929
chr11 45201117 45201317 201 * 4.70160061246659 5.48288462582258 2.87198813976356 2.25997598581157 6.2610435460686e-19 2.08746507246135e-17 44.03 44.38 41.11 49.36 8.24 6.39 7.33 7.32 chr11:45201117-45201317
chr5 99072306 99072506 201 * 6.77098676270662 7.4936653573197 5.25541105140775 2.25226147499572 1.56131106106666e-57 8.08828301641562e-55 168.02 193.07 182.58 177.24 27.86 45.82 42.52 36.59 chr5:99072306-99072506
chr15 89050554 89050754 201 * 5.46035323419783 6.22440871989098 3.73174158757955 2.25036156835935 2.88613240001133e-27 2.09798244292476e-25 56.78 84.33 74.96 83.01 17.27 9.59 14.66 11.62 chr15:89050554-89050754
chr8 93369303 93369503 201 * 5.1474800865025 5.90662823678264 3.44618069192909 2.2404458315846 1.32421346821427e-22 6.42938675318826e-21 67.21 66.57 41.11 65.06 11.38 5.33 16.13 10.76 chr8:93369303-93369503
chr9 80814784 80814984 201 * 7.22644424657816 7.97166047025867 5.59950563078823 2.23964481941358 1.23435277245204e-67 1.18862363268203e-64 256.09 271.85 193.46 282.69 51.01 52.21 35.19 55.53 chr9:80814784-80814984
chr2 140819699 140819899 201 * 6.41137772045812 7.14230881936419 4.85621478901508 2.23890271036865 4.69667253855591e-45 1.22040426651854e-42 135.58 170.87 117.28 141.35 27.86 38.36 26.39 23.25 chr2:140819699-140819899
chr7 64991614 64991814 201 * 6.35412549319322 7.07841764889456 4.83091214415027 2.23092344217583 7.26589007121633e-44 1.73387862454556e-41 126.31 152.01 152.35 109.94 23.94 18.11 42.52 29.27 chr7:64991614-64991814
chr3 92586835 92587035 201 * 6.84128496129123 7.56492482854646 5.32116505718359 2.22385665804378 1.44623239160159e-59 8.64055237116654e-57 193.51 210.82 166.86 186.22 31.78 40.49 45.45 42.19 chr3:92586835-92587035
chr9 110066011 110066211 201 * 6.29999333075282 7.05132930357355 4.64095005365436 2.21852014365109 1.24736739941943e-40 2.46614176352367e-38 151.8 157.56 126.96 94.23 29.04 21.31 17.59 31.86 chr9:110066011-110066211
chr13 28520047 28520247 201 * 5.80889287862348 6.53647051922364 4.26997509644417 2.21434604788395 3.32180534840019e-33 3.87864607092588e-31 95.02 109.85 83.43 83.01 16.09 13.85 27.86 19.37 chr13:28520047-28520247
chr8 112701360 112701560 201 * 4.61759508592681 5.39185521207772 2.83016339324279 2.21072260989712 3.43779442033784e-17 9.62664765990669e-16 31.29 45.49 50.78 40.38 6.28 9.59 4.4 8.18 chr8:112701360-112701560
chr2 73901331 73901531 201 * 7.1570797934887 7.88759532334987 5.60394201889979 2.20872092418371 4.14080771498071e-70 4.45959542472218e-67 223.64 272.96 244.24 206.41 45.52 51.15 41.05 56.82 chr2:73901331-73901531
chr8 5058965 5059165 201 * 5.8469411931817 6.58024052317342 4.28017154809677 2.20456621562421 3.18935643584661e-34 3.93150622937471e-32 107.76 110.96 81.01 83.01 18.83 21.31 19.06 18.51 chr8:5058965-5059165
chr19 46249937 46250137 201 * 6.6845411901704 7.41809900683201 5.11649787043626 2.20396877720785 1.10596949354873e-55 5.23264213967959e-53 177.29 183.08 180.16 143.59 36.1 24.51 38.12 40.04 chr19:46249937-46250137
chrX 152075061 152075261 201 * 6.52269281172334 7.27067648120136 4.88134124018183 2.20017279296871 2.47933584700492e-49 8.21603718272063e-47 146 168.66 141.47 161.54 37.67 23.44 24.93 31.86 chrX:152075061-152075261
chr17 50713454 50713654 201 * 5.85108302264664 6.57776069321434 4.3164876404746 2.19440407135673 1.6462562704416e-34 2.06668285263674e-32 100.81 112.07 90.68 78.53 17.66 20.25 21.99 19.8 chr17:50713454-50713654
chr14 34527559 34527759 201 * 6.0906603986526 6.8255725669403 4.51592141436223 2.18882548046874 1.04844449836095e-39 1.93716096242308e-37 119.35 128.71 97.94 107.69 24.33 22.38 21.99 22.82 chr14:34527559-34527759
chr10 52281463 52281663 201 * 5.02625192511118 5.76216145522148 3.44655817999206 2.18871933132834 2.63387153631023e-21 1.12167023474781e-19 46.35 62.14 59.25 49.36 9.42 13.85 11.73 8.61 chr10:52281463-52281663
chr4 123752426 123752626 201 * 7.24683200015212 7.96162804025231 5.76787802954058 2.18294114925881 1.83422315766068e-66 1.66814444086316e-63 225.96 310.68 240.61 219.87 49.83 63.93 54.25 49.94 chr4:123752426-123752626
chr5 98607506 98607706 201 * 8.24261334213076 8.97115888894652 6.69902935055588 2.1802311598927 9.10660645791495e-127 1.86346211296699e-122 527.24 492.65 471.55 516.03 118.5 95.9 87.97 113.22 chr5:98607506-98607706
chrX 10574477 10574677 201 * 7.28396027396964 8.00945648846411 5.75501556242477 2.17893619260868 7.99425635849694e-81 1.59594604194959e-77 254.93 274.06 252.7 249.04 56.9 54.34 48.39 56.39 chrX:10574477-10574677
chr9 117159261 117159461 201 * 3.71469495640457 4.49749195967256 1.87580527024462 2.1780035992537 1.59894216402659e-10 1.9574486250036e-09 20.86 22.19 18.14 29.17 1.57 3.2 7.33 2.58 chr9:117159261-117159461
chr10 88971036 88971236 201 * 6.13292922778916 6.8536088974668 4.6267477768376 2.17774031019656 9.4607269213914e-39 1.62682764546808e-36 106.61 122.05 101.56 132.37 20.4 31.97 24.93 21.52 chr10:88971036-88971236
chr2 16451369 16451569 201 * 6.11985475164998 6.85270808009154 4.55527957153095 2.17464549410261 6.03277980785033e-40 1.13254371571642e-37 120.51 134.26 108.82 98.72 23.15 25.57 19.06 26.26 chr2:16451369-16451569
chr15 60568714 60568914 201 * 7.21637284975318 7.94523470238324 5.67126001118335 2.17009714366281 1.02441336967549e-73 1.42117387663235e-70 231.75 269.63 246.66 237.82 59.64 44.75 46.92 52.52 chr15:60568714-60568914
chr4 19838312 19838512 201 * 4.96515841950973 5.72203468784157 3.27629954502054 2.16552504365585 1.73538590112857e-20 6.77363239834406e-19 66.05 55.48 44.74 44.87 9.81 8.52 8.8 11.62 chr4:19838312-19838512
chr8 92129309 92129509 201 * 7.78056704078621 8.49817475077522 6.28867953076735 2.15388320888268 4.75708997773144e-100 2.4335785735456e-96 367.33 388.35 367.57 323.08 77.69 68.2 77.71 89.11 chr8:92129309-92129509
chr13 115880824 115881024 201 * 5.40601144229046 6.15339195458867 3.76781579229194 2.15114387878308 6.10484228733836e-25 3.68229510730238e-23 77.64 92.09 54.41 60.58 15.3 13.85 10.26 15.07 chr13:115880824-115881024
chr13 32832774 32832974 201 * 6.54625618823327 7.26579461362543 5.04540509432866 2.1511037632517 1.27663501378102e-51 4.97589773871381e-49 155.27 158.67 153.56 148.08 33.35 25.57 39.59 33.58 chr13:32832774-32832974
chr2 146525130 146525330 201 * 6.08324403257536 6.80836567312883 4.55608526029865 2.15074717330474 1.40675593995496e-36 2.0859489210372e-34 100.81 124.27 93.1 130.13 18.83 24.51 24.93 25.83 chr2:146525130-146525330
chr16 32046088 32046288 201 * 4.97583296672401 5.71150729426784 3.39730951981249 2.14508686030056 4.70125892445514e-19 1.59602963179418e-17 37.08 49.93 66.5 56.09 7.06 14.92 10.26 9.9 chr16:32046088-32046288
chr13 59228407 59228607 201 * 6.03182836313851 6.74829020852405 4.54522882357618 2.13815842489718 2.56113417019677e-36 3.73009596022733e-34 106.61 133.15 102.77 87.5 21.97 25.57 23.46 22.39 chr13:59228407-59228607
chr5 23219694 23219894 201 * 4.82350637888546 5.59053707056113 3.07803433607051 2.13442138796359 3.28418419486328e-18 1.02171706778318e-16 47.51 42.16 44.74 58.33 6.67 10.66 4.4 12.05 chr5:23219694-23219894
chr8 76432803 76433003 201 * 5.45791027113501 6.17390067617699 3.97347951842098 2.13257654038018 1.99661285228472e-26 1.37101307527145e-24 71.84 82.11 65.29 69.55 12.95 17.05 19.06 13.78 chr8:76432803-76433003
chr6 33605487 33605687 201 * 5.18387727604405 5.91360080299043 3.63458963762116 2.13113812819942 1.79791084132425e-22 8.61597191295263e-21 61.41 64.36 74.96 40.38 11.38 15.98 10.26 12.05 chr6:33605487-33605687
chr10 78194780 78194980 201 * 7.26456290503099 7.9878455368177 5.74613377385465 2.12781077410575 1.21160520893095e-72 1.62575570420011e-69 263.04 256.31 267.21 228.85 62.78 43.69 48.39 59.84 chr10:78194780-78194980
chr14 73822958 73823158 201 * 6.75176269917961 7.47161911352317 5.24942879049001 2.12751373325202 5.74853158338401e-56 2.75159683410271e-53 198.15 183.08 171.69 157.05 38.45 42.62 29.32 41.76 chr14:73822958-73823158
chr8 40631019 40631219 201 * 5.39036347994319 6.11033405622322 3.88749677072704 2.12739872031482 2.30709439165775e-25 1.44041177003493e-23 63.73 84.33 67.71 60.58 13.34 14.92 17.59 13.35 chr8:40631019-40631219
chr5 42346881 42347081 201 * 5.22159848352125 5.96828581209853 3.58701967524379 2.12326440162642 5.6205519816219e-23 2.81892034465523e-21 52.14 68.79 68.92 60.58 10.99 12.79 8.8 15.5 chr5:42346881-42347081
chr18 75513151 75513351 201 * 6.43291508002918 7.14641937686222 4.95985604105247 2.12018987388312 1.74512698375038e-45 4.66798656035793e-43 144.85 146.46 131.79 143.59 31.39 18.11 43.99 31 chr18:75513151-75513351
chr5 137947415 137947615 201 * 7.05174912551575 7.76552535756471 5.57745153540154 2.11792469979666 3.85994477498859e-63 2.67746050658975e-60 243.34 215.26 218.85 192.95 42.77 56.47 36.66 55.1 chr5:137947415-137947615
chr11 7825148 7825348 201 * 7.05510251179763 7.76281588441764 5.6081150694035 2.11302595879488 2.03244782098517e-61 1.36358923438899e-58 245.66 226.35 181.37 215.38 46.69 38.36 60.11 49.94 chr11:7825148-7825348
chr7 143621094 143621294 201 * 6.46068645643216 7.16713019687569 5.01933886015765 2.10923675322248 2.78822793906568e-43 6.41065295057485e-41 164.54 142.03 142.67 125.64 27.47 19.18 46.92 36.16 chr7:143621094-143621294
chr17 67641810 67642010 201 * 6.40170991949214 7.09089887069424 5.03443665763687 2.10401584557589 5.53756246735874e-39 9.76842727404699e-37 132.1 156.45 137.84 118.91 22.37 27.7 51.32 29.7 chr17:67641810-67642010
chr13 55976255 55976455 201 * 5.99087422295813 6.71169457203616 4.48403404901725 2.10201386072333 1.96766245807103e-35 2.65767557517445e-33 99.65 112.07 108.82 98.72 21.97 13.85 27.86 25.83 chr13:55976255-55976455
chr8 10185349 10185549 201 * 4.35004539671164 5.10149219609994 2.6904128070271 2.09976953173149 1.08676920264081e-13 2.0624425227302e-12 33.6 33.29 27.81 42.63 5.1 1.07 13.2 6.46 chr8:10185349-10185549
chr7 113830128 113830328 201 * 5.96452495518887 6.68105629609909 4.47760537653625 2.09651916277241 1.34020453425608e-33 1.60846160312896e-31 121.67 105.41 100.36 83.01 19.62 15.98 26.39 27.12 chr7:113830128-113830328
chr2 107438060 107438260 201 * 7.01855802997796 7.71983400688679 5.59989113080774 2.09620580973227 3.55534876022278e-63 2.50869699459478e-60 217.85 237.45 199.5 188.46 45.52 43.69 55.72 49.08 chr2:107438060-107438260
chr5 37365844 37366044 201 * 7.05853241144812 7.7632165669389 5.6249566709583 2.09113594301409 3.0098018530402e-64 2.34624087117327e-61 229.43 214.15 205.55 219.87 43.56 41.56 57.18 55.1 chr5:37365844-37366044
chr18 58171866 58172066 201 * 4.49390811587201 5.23522977941557 2.88696576598625 2.0898482654749 1.43183447340009e-14 3.01820972140795e-13 39.4 53.26 26.6 31.41 6.28 4.26 11.73 7.32 chr18:58171866-58172066
chr7 68656540 68656740 201 * 5.51907209988496 6.25147273632438 3.95672020354812 2.08792421146805 7.18785666561838e-24 3.91439292040938e-22 55.62 106.52 64.08 78.53 17.66 17.05 13.2 14.21 chr7:68656540-68656740
chr18 83334028 83334228 201 * 6.25479469770693 6.95386037672878 4.84569629201103 2.08708137526093 9.11272332123119e-39 1.57359813621539e-36 121.67 128.71 106.4 139.1 24.72 22.38 42.52 25.4 chr18:83334028-83334228
chr8 93883344 93883544 201 * 5.26351015328162 5.97333829797496 3.80706831598264 2.08221212161674 1.47332729229049e-22 7.09789948212293e-21 70.68 73.23 58.04 49.36 12.56 8.52 21.99 12.91 chr8:93883344-93883544
chr13 92336984 92337184 201 * 6.5543488399591 7.27919538175893 5.02850001550746 2.08147325430635 1.7138777913652e-45 4.59942987216501e-43 151.8 138.7 184.99 145.83 39.63 29.84 24.93 36.16 chr13:92336984-92337184
chr12 71070526 71070726 201 * 5.09203562143604 5.83993853955103 3.45110704526674 2.07903125496305 6.40382043729793e-21 2.63264242397425e-19 50.99 56.59 51.99 69.55 11.38 10.66 8.8 12.91 chr12:71070526-71070726
chr2 134189813 134190013 201 * 6.5120989738513 7.20685937725011 5.12141671979735 2.0760322568649 4.9541847209981e-47 1.44823204856577e-44 149.48 160.89 141.47 139.1 31 31.97 43.99 32.29 chr2:134189813-134190013
chr19 24259884 24260084 201 * 7.01253074294891 7.70449621332771 5.63365044526733 2.07000589514823 3.96229853501759e-60 2.42028430887854e-57 219.01 218.59 181.37 215.38 43.16 51.15 58.65 45.63 chr19:24259884-24260084
chr1 37216334 37216534 201 * 4.87114175250722 5.61252416844273 3.26389000497922 2.06694948051696 2.68382282270482e-18 8.41661233184721e-17 39.4 55.48 44.74 56.09 10.59 8.52 10.26 9.04 chr1:37216334-37216534
chr2 16557639 16557839 201 * 5.31614971989117 6.04761103897588 3.75839792859784 2.06541681348899 2.58532601231693e-23 1.33931341414021e-21 68.37 76.56 72.55 47.12 14.13 9.59 13.2 17.22 chr2:16557639-16557839
chr1 36859105 36859305 201 * 5.50524393354545 6.22499921685566 4.00338180988314 2.0649367866838 2.09547538257835e-25 1.31430464014882e-23 81.11 57.7 77.38 83.01 17.66 15.98 17.59 12.91 chr1:36859105-36859305
chr11 74915917 74916117 201 * 4.67649617226449 5.44722371813901 2.90974635264023 2.06373692256295 6.59205755003556e-15 1.44655898801062e-13 24.33 46.6 36.27 67.31 9.42 7.46 5.86 7.32 chr11:74915917-74916117
